customer_id,first_name,last_name,email,street,city,state,local,zip_code,Extraction_Date_Time,Source
14,Garry,Espinoza,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,False,75126,2024-05-03 23:35:20.819551,DL
15,Linnie,Branch,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,False,12901,2024-05-03 23:35:20.819551,DL
16,Emmitt,Sanchez,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,False,10002,2024-05-03 23:35:20.819551,DL
17,Caren,Stephens,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,False,10583,2024-05-03 23:35:20.819551,DL
18,Georgetta,Hardin,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,False,14424,2024-05-03 23:35:20.819551,DL
19,Lizzette,Stein,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,False,14127,2024-05-03 23:35:20.819551,DL
20,Aleta,Shepard,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,False,77478,2024-05-03 23:35:20.819551,DL
21,Tobie,Little,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,False,77904,2024-05-03 23:35:20.819551,DL
22,Adelle,Larsen,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,False,11731,2024-05-03 23:35:20.819551,DL
23,Kaylee,English,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,False,11423,2024-05-03 23:35:20.819551,DL
24,Corene,Wall,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,False,95301,2024-05-03 23:35:20.819551,DL
25,Regenia,Vaughan,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,False,10541,2024-05-03 23:35:20.819551,DL
26,Theo,Reese,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,NY,False,11561,2024-05-03 23:35:20.819551,DL
27,Santos,Valencia,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,False,11104,2024-05-03 23:35:20.819551,DL
28,Jeanice,Frost,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,False,10562,2024-05-03 23:35:20.819551,DL
29,Syreeta,Hendricks,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,False,10541,2024-05-03 23:35:20.819551,DL
30,Jamaal,Albert,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,False,90505,2024-05-03 23:35:20.819551,DL
31,Williemae,Holloway,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,False,94603,2024-05-03 23:35:20.819551,DL
32,Araceli,Golden,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,False,92831,2024-05-03 23:35:20.819551,DL
33,Deloris,Burke,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,False,90274,2024-05-03 23:35:20.819551,DL
34,Brittney,Woodward,brittney.woodward@aol.com,960 River St. ,East Northport,NY,False,11731,2024-05-03 23:35:20.819551,DL
35,Guillermina,Noble,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,False,13027,2024-05-03 23:35:20.819551,DL
36,Bernita,Mcdaniel,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,False,13090,2024-05-03 23:35:20.819551,DL
37,Melia,Brady,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,NY,False,11378,2024-05-03 23:35:20.819551,DL
38,Zelma,Browning,zelma.browning@aol.com,296 Second Street ,Astoria,NY,False,11102,2024-05-03 23:35:20.819551,DL
39,Janetta,Aguirre,janetta.aguirre@aol.com,214 Second Court ,Lancaster,NY,False,14086,2024-05-03 23:35:20.819551,DL
40,Ronna,Butler,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,False,91316,2024-05-03 23:35:20.819551,DL
41,Kathie,Freeman,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,NY,False,12804,2024-05-03 23:35:20.819551,DL
42,Tangela,Quinn,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,NY,False,11418,2024-05-03 23:35:20.819551,DL
43,Mozelle,Carter,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,TX,False,77016,2024-05-03 23:35:20.819551,DL
44,Onita,Johns,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,NY,False,11003,2024-05-03 23:35:20.819551,DL
45,Bennett,Armstrong,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,NY,False,11714,2024-05-03 23:35:20.819551,DL
46,Monika,Berg,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,False,91316,2024-05-03 23:35:20.819551,DL
47,Bridgette,Guerra,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,CA,False,94580,2024-05-03 23:35:20.819551,DL
48,Cesar,Jackson,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,NY,False,13090,2024-05-03 23:35:20.819551,DL
49,Caroll,Hays,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,NY,False,14450,2024-05-03 23:35:20.819551,DL
50,Cleotilde,Booth,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,TX,False,77478,2024-05-03 23:35:20.819551,DL
51,Gertrud,Rhodes,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,Merrick,NY,False,11566,2024-05-03 23:35:20.819551,DL
52,Tu,Ramirez,tu.ramirez@hotmail.com,24 W. Courtland Street ,East Elmhurst,NY,False,11369,2024-05-03 23:35:20.819551,DL
53,Saturnina,Garner,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,CA,False,91740,2024-05-03 23:35:20.819551,DL
54,Fran,Yang,fran.yang@hotmail.com,440 Pearl St. ,Utica,NY,False,13501,2024-05-03 23:35:20.819551,DL
55,Diana,Guerra,diana.guerra@hotmail.com,45 Chapel Ave. ,Merrick,NY,False,11566,2024-05-03 23:35:20.819551,DL
56,Lolita,Mosley,lolita.mosley@hotmail.com,376 S. High Ridge St. ,Houston,TX,False,77016,2024-05-03 23:35:20.819551,DL
57,Pamala,Henry,pamala.henry@aol.com,197 Bridgeton Ave. ,Bronx,NY,False,10451,2024-05-03 23:35:20.819551,DL
58,Damien,Dorsey,damien.dorsey@yahoo.com,161 Old York Street ,Central Islip,NY,False,11722,2024-05-03 23:35:20.819551,DL
59,Latasha,Stanley,latasha.stanley@gmail.com,8068 Fordham Drive ,Rockville Centre,NY,False,11570,2024-05-03 23:35:20.819551,DL
60,Neil,Mccall,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,False,94070,2024-05-03 23:35:20.819551,DL
61,Elinore,Aguilar,elinore.aguilar@msn.com,9766 Rockcrest Ave. ,San Angelo,TX,False,76901,2024-05-03 23:35:20.819551,DL
62,Alica,Hunter,alica.hunter@hotmail.com,8 San Juan Drive ,East Elmhurst,NY,False,11369,2024-05-03 23:35:20.819551,DL
63,Tenisha,Lyons,tenisha.lyons@aol.com,78 E. Rock Creek Street ,Amityville,NY,False,11701,2024-05-03 23:35:20.819551,DL
64,Bobbie,Foster,bobbie.foster@yahoo.com,988 Pineknoll Ave. ,Desoto,TX,False,75115,2024-05-03 23:35:20.819551,DL
65,Kanesha,Vega,kanesha.vega@gmail.com,771 E. Oxford Drive ,Rome,NY,False,13440,2024-05-03 23:35:20.819551,DL
66,Lorrie,Becker,lorrie.becker@yahoo.com,19 North Court ,Garland,TX,False,75043,2024-05-03 23:35:20.819551,DL
67,Tommie,Melton,tommie.melton@gmail.com,8 West Old York St. ,Sacramento,CA,False,95820,2024-05-03 23:35:20.819551,DL
68,Jayne,Kirkland,jayne.kirkland@hotmail.com,7800 Second Lane ,Rowlett,TX,True,75088,2024-05-03 23:35:20.819551,DL
69,Katelin,Kennedy,katelin.kennedy@gmail.com,286 Myrtle Lane ,Rocklin,CA,False,95677,2024-05-03 23:35:20.819551,DL
70,Tomasa,Carson,tomasa.carson@aol.com,10 Clark Avenue ,East Elmhurst,NY,False,11369,2024-05-03 23:35:20.819551,DL
71,Takako,Casey,takako.casey@aol.com,7548 Court Lane ,Bronx,NY,False,10451,2024-05-03 23:35:20.819551,DL
72,Petronila,Norris,petronila.norris@aol.com,72 South Marshall Lane ,South El Monte,CA,False,91733,2024-05-03 23:35:20.819551,DL
73,Melanie,Hayes,melanie.hayes@msn.com,5 N. Hall Dr. ,Liverpool,NY,False,13090,2024-05-03 23:35:20.819551,DL
74,Georgeann,Waller,georgeann.waller@yahoo.com,9797 Bald Hill Ave. ,North Tonawanda,NY,False,14120,2024-05-03 23:35:20.819551,DL
75,Abby,Gamble,abby.gamble@aol.com,60 Myers Dr. ,Amityville,NY,False,11701,2024-05-03 23:35:20.819551,DL
76,Parker,Prince,parker.prince@hotmail.com,21 Sulphur Springs Drive ,Port Jefferson Station,NY,False,11776,2024-05-03 23:35:20.819551,DL
77,Keri,Bridges,keri.bridges@gmail.com,8504 Brickell Ave. ,Richardson,TX,False,75080,2024-05-03 23:35:20.819551,DL
78,Chi,Goff,chi.goff@aol.com,3 W. Glen Ridge Avenue ,Palos Verdes Peninsula,CA,False,90274,2024-05-03 23:35:20.819551,DL
79,Ashanti,Parks,ashanti.parks@hotmail.com,846 N. Helen St. ,Baldwin,NY,True,11510,2024-05-03 23:35:20.819551,DL
80,Sarai,Mckee,sarai.mckee@msn.com,641 Glenwood Avenue ,Buffalo,NY,False,14215,2024-05-03 23:35:20.819551,DL
81,Zina,Bonner,zina.bonner@hotmail.com,9312 8th Street ,San Lorenzo,CA,False,94580,2024-05-03 23:35:20.819551,DL
82,Lizzie,Joyner,lizzie.joyner@msn.com,8541 Roberts St. ,Coachella,CA,False,92236,2024-05-03 23:35:20.819551,DL
83,Tiesha,Daniel,tiesha.daniel@yahoo.com,6 West Bohemia Lane ,Scarsdale,NY,False,10583,2024-05-03 23:35:20.819551,DL
84,Armand,Whitehead,armand.whitehead@hotmail.com,639 Harvey St. ,Lindenhurst,NY,False,11757,2024-05-03 23:35:20.819551,DL
85,Teofila,Fischer,teofila.fischer@aol.com,1 West Brickyard St. ,Huntington Station,NY,False,11746,2024-05-03 23:35:20.819551,DL
86,Lissa,Vargas,lissa.vargas@yahoo.com,517 Victoria Ave. ,Oswego,NY,False,13126,2024-05-03 23:35:20.819551,DL
87,Yan,Mcgowan,yan.mcgowan@msn.com,8960 Newport Ave. ,Duarte,CA,False,91010,2024-05-03 23:35:20.819551,DL
88,Titus,Bullock,titus.bullock@gmail.com,29 Oxford Avenue ,Hollis,NY,False,11423,2024-05-03 23:35:20.819551,DL
89,Arvilla,Osborn,arvilla.osborn@gmail.com,60 Acacia Lane ,Upland,CA,False,91784,2024-05-03 23:35:20.819551,DL
90,Marjorie,Logan,marjorie.logan@msn.com,95 Grandrose St. ,Franklin Square,NY,False,11010,2024-05-03 23:35:20.819551,DL
91,Marvin,Mullins,marvin.mullins@aol.com,7489 Redwood Drive ,San Diego,CA,False,92111,2024-05-03 23:35:20.819551,DL
92,Tena,Cruz,tena.cruz@yahoo.com,1 South St. ,Farmingdale,NY,False,11735,2024-05-03 23:35:20.819551,DL
93,Corrina,Sawyer,corrina.sawyer@yahoo.com,95 Briarwood Lane ,Troy,NY,False,12180,2024-05-03 23:35:20.819551,DL
94,Sharyn,Hopkins,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,False,13027,2024-05-03 23:35:20.819551,DL
95,Letitia,Franco,letitia.franco@aol.com,607 Lakeview Drive ,Saratoga Springs,NY,False,12866,2024-05-03 23:35:20.819551,DL
96,Floretta,Higgins,floretta.higgins@hotmail.com,870 Lilac Dr. ,Bayside,NY,False,11361,2024-05-03 23:35:20.819551,DL
97,Louanne,Martin,louanne.martin@hotmail.com,1 Campfire Ave. ,Yuba City,CA,False,95993,2024-05-03 23:35:20.819551,DL
98,Violet,Valenzuela,violet.valenzuela@msn.com,8668 Piper Street ,Plattsburgh,NY,False,12901,2024-05-03 23:35:20.819551,DL
99,Carie,Kidd,carie.kidd@yahoo.com,6 East Clinton Street ,Monroe,NY,False,10950,2024-05-03 23:35:20.819551,DL
100,Kellie,Franco,kellie.franco@yahoo.com,444 South Walnut Rd. ,Commack,NY,False,11725,2024-05-03 23:35:20.819551,DL
101,Nichelle,Howell,nichelle.howell@aol.com,7670 Forest St. ,Scarsdale,NY,False,10583,2024-05-03 23:35:20.819551,DL
102,Marisol,Goodman,marisol.goodman@gmail.com,864 East Cherry St. ,Canandaigua,NY,False,14424,2024-05-03 23:35:20.819551,DL
103,Sylvie,Wilkerson,sylvie.wilkerson@yahoo.com,750 Central Ave. ,Syosset,NY,False,11791,2024-05-03 23:35:20.819551,DL
104,Katharina,Bates,katharina.bates@gmail.com,54 South Greenview Drive ,Campbell,CA,False,95008,2024-05-03 23:35:20.819551,DL
105,Marget,Hodge,marget.hodge@msn.com,7199 Selby Lane ,Woodhaven,NY,False,11421,2024-05-03 23:35:20.819551,DL
106,Raul,Melendez,raul.melendez@hotmail.com,9772 Manhattan St. ,Elmhurst,NY,False,11373,2024-05-03 23:35:20.819551,DL
107,Cecil,Hopper,cecil.hopper@yahoo.com,471 Glenlake Ave. ,Central Islip,NY,False,11722,2024-05-03 23:35:20.819551,DL
108,Shae,Hickman,shae.hickman@hotmail.com,740 Pin Oak Street ,Floral Park,NY,False,11001,2024-05-03 23:35:20.819551,DL
109,Monica,Sears,monica.sears@aol.com,57 Glenholme St. ,San Jose,CA,False,95127,2024-05-03 23:35:20.819551,DL
110,Ollie,Zimmerman,ollie.zimmerman@yahoo.com,69 Wood Rd. ,Anaheim,CA,False,92806,2024-05-03 23:35:20.819551,DL
111,Shila,White,shila.white@msn.com,94 Lakeshore Street ,Orchard Park,NY,False,14127,2024-05-03 23:35:20.819551,DL
112,Yuk,Vega,yuk.vega@yahoo.com,413 Wood St. ,West Hempstead,NY,False,11552,2024-05-03 23:35:20.819551,DL
113,Eliana,Silva,eliana.silva@gmail.com,7119 Summer Rd. ,Farmingdale,NY,False,11735,2024-05-03 23:35:20.819551,DL
114,Thalia,Horne,thalia.horne@yahoo.com,9312 Harvard Street ,Amityville,NY,False,11701,2024-05-03 23:35:20.819551,DL
115,Rey,Lindsay,rey.lindsay@gmail.com,16 Philmont St. ,Monroe,NY,False,10950,2024-05-03 23:35:20.819551,DL
116,Merlene,Vinson,merlene.vinson@gmail.com,431 Vine Dr. ,Euless,TX,False,76039,2024-05-03 23:35:20.819551,DL
117,Dacia,William,dacia.william@msn.com,62 Cypress Drive ,Sugar Land,TX,False,77478,2024-05-03 23:35:20.819551,DL
118,Le,Wood,le.wood@yahoo.com,90 Primrose Dr. ,Pittsford,NY,False,14534,2024-05-03 23:35:20.819551,DL
119,Thalia,Dillard,thalia.dillard@yahoo.com,987 NE. Gates Street ,San Angelo,TX,False,76901,2024-05-03 23:35:20.819551,DL
120,Luz,House,luz.house@gmail.com,491 Railroad Street ,Fresno,CA,False,93706,2024-05-03 23:35:20.819551,DL
121,Lucy,Woods,lucy.woods@gmail.com,8437 West Rockaway St. ,Palos Verdes Peninsula,CA,False,90274,2024-05-03 23:35:20.819551,DL
122,Shena,Carter,shena.carter@yahoo.com,72 University Road ,Howard Beach,NY,False,11414,2024-05-03 23:35:20.819551,DL
123,Robena,Hill,robena.hill@hotmail.com,263 Cross St. ,Corpus Christi,TX,False,78418,2024-05-03 23:35:20.819551,DL
124,Jeni,Booker,jeni.booker@gmail.com,546 Railroad Dr. ,South El Monte,CA,False,91733,2024-05-03 23:35:20.819551,DL
125,Herlinda,Stone,herlinda.stone@msn.com,725 Gulf St. ,Canandaigua,NY,False,14424,2024-05-03 23:35:20.819551,DL
126,Lavina,Dejesus,lavina.dejesus@msn.com,59 E. Valley Avenue ,Newburgh,NY,False,12550,2024-05-03 23:35:20.819551,DL
127,Erlinda,Nielsen,erlinda.nielsen@aol.com,728 Oxford Lane ,Maspeth,NY,False,11378,2024-05-03 23:35:20.819551,DL
128,Terrance,Lynn,terrance.lynn@yahoo.com,91 East Buckingham Drive ,Plattsburgh,NY,False,12901,2024-05-03 23:35:20.819551,DL
129,Walton,Dejesus,walton.dejesus@yahoo.com,15 Washington Rd. ,Lockport,NY,False,14094,2024-05-03 23:35:20.819551,DL
130,Wes,Stanton,wes.stanton@msn.com,8662 Tunnel Street ,Troy,NY,False,12180,2024-05-03 23:35:20.819551,DL
131,Tanesha,Hampton,tanesha.hampton@hotmail.com,19 Belmont Ave. ,Syosset,NY,False,11791,2024-05-03 23:35:20.819551,DL
132,Boyd,Irwin,boyd.irwin@hotmail.com,221 Whitemarsh St. ,Hamburg,NY,False,14075,2024-05-03 23:35:20.819551,DL
133,Delbert,Wilkins,delbert.wilkins@aol.com,420 Greenview St. ,Coram,NY,False,11727,2024-05-03 23:35:20.819551,DL
134,Brianna,Moss,brianna.moss@msn.com,4 Longfellow St. ,Hempstead,NY,False,11550,2024-05-03 23:35:20.819551,DL
135,Dorthey,Jackson,dorthey.jackson@msn.com,9768 Brookside St. ,Houston,TX,False,77016,2024-05-03 23:35:20.819551,DL
136,Sarita,Parks,sarita.parks@msn.com,7809 Second Lane ,Forney,TX,False,75126,2024-05-03 23:35:20.819551,DL
137,Shonta,Mercer,shonta.mercer@aol.com,319 NE. La Sierra Avenue ,Massapequa,NY,False,11758,2024-05-03 23:35:20.819551,DL
138,Jone,Bernard,jone.bernard@hotmail.com,99 Longbranch Court ,Anaheim,CA,False,92806,2024-05-03 23:35:20.819551,DL
139,Wanita,Davenport,wanita.davenport@aol.com,525 Dogwood Ave. ,Spring Valley,NY,False,10977,2024-05-03 23:35:20.819551,DL
140,Cleopatra,Tate,cleopatra.tate@aol.com,97 N. Glenwood St. ,East Elmhurst,NY,False,11369,2024-05-03 23:35:20.819551,DL
141,Ramiro,Byers,ramiro.byers@gmail.com,16 Pleasant St. ,Saint Albans,NY,False,11412,2024-05-03 23:35:20.819551,DL
142,Nicholas,Vazquez,nicholas.vazquez@hotmail.com,9 Roosevelt Street ,West Hempstead,NY,False,11552,2024-05-03 23:35:20.819551,DL
143,Janae,Doyle,janae.doyle@gmail.com,760 Rose Ave. ,Jackson Heights,NY,False,11372,2024-05-03 23:35:20.819551,DL
144,Hans,Price,hans.price@hotmail.com,51 Glendale Road ,Port Chester,NY,False,10573,2024-05-03 23:35:20.819551,DL
145,Miquel,Neal,miquel.neal@hotmail.com,9564 Deerfield Lane ,Staten Island,NY,False,10301,2024-05-03 23:35:20.819551,DL
146,Stefany,Potter,stefany.potter@gmail.com,256 South Academy St. ,Saratoga Springs,NY,False,12866,2024-05-03 23:35:20.819551,DL
147,Bernetta,Marquez,bernetta.marquez@hotmail.com,626 E. Dunbar Street ,Smithtown,NY,False,11787,2024-05-03 23:35:20.819551,DL
148,Julee,Woodard,julee.woodard@yahoo.com,869 Summerhouse Dr. ,Richmond Hill,NY,False,11418,2024-05-03 23:35:20.819551,DL
149,Meredith,Bryan,meredith.bryan@hotmail.com,8935 E. Oxford St. ,Spring Valley,NY,False,10977,2024-05-03 23:35:20.819551,DL
150,Weldon,Michael,weldon.michael@hotmail.com,9952 Nut Swamp St. ,Huntington,NY,False,11743,2024-05-03 23:35:20.819551,DL
151,Joesph,Delacruz,joesph.delacruz@aol.com,184 Cypress Street ,Atwater,CA,False,95301,2024-05-03 23:35:20.819551,DL
152,Katherina,Odom,katherina.odom@yahoo.com,897 N. Oak Drive ,Plainview,NY,False,11803,2024-05-03 23:35:20.819551,DL
153,Laraine,Robbins,laraine.robbins@yahoo.com,8214 E. Pin Oak Lane ,San Angelo,TX,False,76901,2024-05-03 23:35:20.819551,DL
154,Jenise,Preston,jenise.preston@yahoo.com,9 Littleton Drive ,Helotes,TX,False,78023,2024-05-03 23:35:20.819551,DL
155,Lory,Page,lory.page@hotmail.com,58 Summerhouse Street ,Bay Shore,NY,False,11706,2024-05-03 23:35:20.819551,DL
156,Charlyn,Cantrell,charlyn.cantrell@yahoo.com,8756 Euclid St. ,West Islip,NY,False,11795,2024-05-03 23:35:20.819551,DL
157,Carola,Rodriquez,carola.rodriquez@hotmail.com,9433 Heritage Lane ,Banning,CA,False,92220,2024-05-03 23:35:20.819551,DL
158,Alane,Kennedy,alane.kennedy@yahoo.com,34 Green Lake Street ,Spring Valley,NY,False,10977,2024-05-03 23:35:20.819551,DL
159,Regina,Burns,regina.burns@aol.com,713 Buckingham St. ,Garland,TX,False,75043,2024-05-03 23:35:20.819551,DL
160,Omer,Estrada,omer.estrada@gmail.com,9 Honey Creek Street ,Rowlett,TX,True,75088,2024-05-03 23:35:20.819551,DL
161,Crystle,Gilliam,crystle.gilliam@yahoo.com,86 Edgewater Road ,Smithtown,NY,False,11787,2024-05-03 23:35:20.819551,DL
162,Kam,Wilder,kam.wilder@hotmail.com,500 West Clay Ave. ,Newburgh,NY,False,12550,2024-05-03 23:35:20.819551,DL
163,Margert,Stevens,margert.stevens@aol.com,502 North Poplar St. ,Rome,NY,False,13440,2024-05-03 23:35:20.819551,DL
164,Tomika,Larson,tomika.larson@yahoo.com,254 Canal St. ,Woodside,NY,False,11377,2024-05-03 23:35:20.819551,DL
165,Jeromy,Burch,jeromy.burch@msn.com,889 Mulberry Street ,San Jose,CA,False,95127,2024-05-03 23:35:20.819551,DL
166,Lena,Mills,lena.mills@yahoo.com,42 Homestead St. ,Woodhaven,NY,False,11421,2024-05-03 23:35:20.819551,DL
167,Loreta,Johnston,loreta.johnston@yahoo.com,39 Lafayette Dr. ,Spring Valley,NY,False,10977,2024-05-03 23:35:20.819551,DL
168,Nettie,Mcdaniel,nettie.mcdaniel@hotmail.com,7004 E. Wakehurst St. ,South Ozone Park,NY,False,11420,2024-05-03 23:35:20.819551,DL
169,Karla,Kirk,karla.kirk@yahoo.com,9718 Harvard Rd. ,Palos Verdes Peninsula,CA,False,90274,2024-05-03 23:35:20.819551,DL
170,Regine,Gonzales,regine.gonzales@gmail.com,798 Court Drive ,Oxnard,CA,False,93035,2024-05-03 23:35:20.819551,DL
171,Miriam,Baker,miriam.baker@hotmail.com,90 Studebaker St. ,Uniondale,NY,False,11553,2024-05-03 23:35:20.819551,DL
172,Jeanie,Kirkland,jeanie.kirkland@aol.com,7643 Old Theatre St. ,Santa Clara,CA,False,95050,2024-05-03 23:35:20.819551,DL
173,Marquerite,Dawson,marquerite.dawson@gmail.com,37 Hamilton Court ,Garland,TX,False,75043,2024-05-03 23:35:20.819551,DL
174,Babara,Ochoa,babara.ochoa@aol.com,872 Smith Store St. ,Scarsdale,NY,False,10583,2024-05-03 23:35:20.819551,DL
175,Nova,Hess,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,False,91010,2024-05-03 23:35:20.819551,DL
176,Carley,Reynolds,carley.reynolds@gmail.com,2 Snake Hill Drive ,South El Monte,CA,False,91733,2024-05-03 23:35:20.819551,DL
177,Carissa,Foreman,carissa.foreman@msn.com,69C N. Ridge Rd. ,Maspeth,NY,False,11378,2024-05-03 23:35:20.819551,DL
178,Genoveva,Tyler,genoveva.tyler@gmail.com,8121 Windfall Ave. ,New York,NY,False,10002,2024-05-03 23:35:20.819551,DL
179,Deane,Sears,deane.sears@hotmail.com,3 Bradford Court ,Pittsford,NY,False,14534,2024-05-03 23:35:20.819551,DL
180,Karey,Steele,karey.steele@gmail.com,8879 Kent Lane ,Farmingdale,NY,False,11735,2024-05-03 23:35:20.819551,DL
181,Olevia,Pitts,olevia.pitts@gmail.com,39 Fieldstone Drive ,Redondo Beach,CA,False,90278,2024-05-03 23:35:20.819551,DL
182,Jenniffer,Bullock,jenniffer.bullock@msn.com,38 Oxford Avenue ,Bay Shore,NY,False,11706,2024-05-03 23:35:20.819551,DL
183,Jeniffer,Ratliff,jeniffer.ratliff@gmail.com,510 Rocky River Court ,Floral Park,NY,False,11001,2024-05-03 23:35:20.819551,DL
184,Klara,Stanley,klara.stanley@aol.com,603 Mechanic St. ,Webster,NY,False,14580,2024-05-03 23:35:20.819551,DL
185,Morton,Lee,morton.lee@yahoo.com,313 Ridge St. ,San Angelo,TX,False,76901,2024-05-03 23:35:20.819551,DL
186,Ken,Charles,ken.charles@msn.com,9124 W. Piper Lane ,Monsey,NY,False,10952,2024-05-03 23:35:20.819551,DL
187,Hedwig,Paul,hedwig.paul@msn.com,422 Manor Ave. ,Apple Valley,CA,False,92307,2024-05-03 23:35:20.819551,DL
188,Sharla,Flynn,sharla.flynn@hotmail.com,7 Brown Drive ,Oxnard,CA,False,93035,2024-05-03 23:35:20.819551,DL
189,Damian,Dawson,damian.dawson@hotmail.com,528 St Margarets Street ,Liverpool,NY,False,13090,2024-05-03 23:35:20.819551,DL
190,Toya,Pratt,toya.pratt@yahoo.com,485 San Pablo Drive ,Long Beach,NY,False,11561,2024-05-03 23:35:20.819551,DL
191,Graciela,Barber,graciela.barber@hotmail.com,1 E. Young St. ,Oxnard,CA,False,93035,2024-05-03 23:35:20.819551,DL
192,Bong,Hebert,bong.hebert@gmail.com,545 Brook St. ,Torrance,CA,False,90505,2024-05-03 23:35:20.819551,DL
193,Ayanna,Rhodes,ayanna.rhodes@msn.com,7425 Pheasant St. ,Hicksville,NY,False,11801,2024-05-03 23:35:20.819551,DL
194,Dorine,Roberson,dorine.roberson@msn.com,396 Meadowbrook Lane ,Santa Cruz,CA,True,95060,2024-05-03 23:35:20.819551,DL
195,Addie,Hahn,addie.hahn@hotmail.com,8165 Baker Ave. ,Franklin Square,NY,False,11010,2024-05-03 23:35:20.819551,DL
196,Edythe,Valencia,edythe.valencia@yahoo.com,9346 Wall St. ,North Tonawanda,NY,False,14120,2024-05-03 23:35:20.819551,DL
197,Andy,O'neill,andy.o'neill@msn.com,9544 Mulberry Drive ,Rego Park,NY,False,11374,2024-05-03 23:35:20.819551,DL
198,Luis,Tyler,luis.tyler@gmail.com,9568 Campfire Circle ,Amarillo,TX,False,79106,2024-05-03 23:35:20.819551,DL
